,Lambda,Flux
137,6675.51763830351,123576.33580401631
138,6675.407230734984,125327.10112593047
139,6675.296823166458,122617.40587376418
140,6675.186415597933,123202.48975653094
141,6675.076008029407,123982.47215642022
142,6674.965600460881,123053.6123918243
143,6674.855192892356,123329.99942771245
144,6674.74478532383,123412.1552605907
145,6674.634377755305,123591.70667840162
146,6674.523970186779,124638.11471582667
147,6674.413562618253,124009.3243100962
148,6674.303155049727,124420.52056304156
149,6674.192747481202,125361.93144561493
150,6674.082339912677,124181.38828142539
151,6673.97193234415,123396.80638355947
152,6673.861524775625,123306.66302125633
153,6673.751117207099,122809.84528110795
154,6673.640709638574,124334.41212278516
155,6673.530302070048,124429.79626627236
156,6673.419894501522,123238.6645498987
157,6673.309486932997,123478.80330873678
158,6673.199079364471,123845.78342980758
159,6673.088671795946,123881.98539416921
160,6672.9782642274195,123563.4437931444
161,6672.867856658894,123023.21315560854
162,6672.757449090369,124285.43219291155
163,6672.647041521843,123394.58710698095
164,6672.5366339533175,125089.49994696719
165,6672.426226384791,123539.13063626923
166,6672.315818816266,123463.99351824888
167,6672.20541124774,125080.50755282791
168,6672.095003679215,123440.307705365
169,6671.984596110689,123660.14233898601
170,6671.874188542163,124144.50763329494
171,6671.763780973638,123176.182296826
172,6671.653373405112,124562.3244001916
173,6671.5429658365865,124672.28908803633
174,6671.43255826806,124003.20484938502
175,6671.322150699535,123946.17203213624
176,6671.21174313101,123657.016327748
177,6671.101335562484,125005.72157949803
178,6670.990927993958,123227.84229301078
179,6670.880520425432,124931.48712825621
180,6670.770112856907,124726.35263078345
181,6670.659705288381,123808.79326064825
182,6670.5492977198555,124113.02207372569
183,6670.43889015133,125022.42286741314
184,6670.328482582804,123222.43134768914
185,6670.218075014279,124378.2232717214
186,6670.107667445753,124485.07243621978
187,6669.997259877227,124165.23167846876
188,6669.886852308701,124710.0418011098
189,6669.776444740176,124866.66049799723
190,6669.666037171651,124054.5495164494
191,6669.5556296031245,125471.98879535608
192,6669.445222034599,122993.57029726742
193,6669.334814466073,124923.71125577211
194,6669.224406897548,125266.3287867728
195,6669.113999329022,124702.92168016502
196,6669.003591760496,125070.48682767319
197,6668.893184191971,124280.2291767187
198,6668.782776623445,124777.18275559862
199,6668.67236905492,125330.8140532348
200,6668.561961486394,125217.26239957428
201,6668.451553917868,124161.76097449916
202,6668.341146349343,125091.75426475993
203,6668.230738780817,123820.4580211288
204,6668.120331212292,124399.56501362521
205,6668.009923643765,124530.9594763087
206,6667.89951607524,126313.10740076686
207,6667.789108506714,124417.02826843418
208,6667.678700938189,124769.28454386501
209,6667.5682933696635,125574.28560258236
210,6667.457885801137,124645.01127428655
211,6667.347478232612,124977.78456473861
212,6667.237070664086,124210.5345386741
213,6667.126663095561,125733.05501677968
214,6667.016255527034,125274.26665733028
215,6666.905847958509,124928.99479862241
216,6666.795440389984,125256.97190726023
217,6666.685032821458,124382.36986758938
218,6666.5746252529325,124921.31607797596
219,6666.464217684406,123981.3551215253
220,6666.353810115881,124719.6980895655
221,6666.243402547355,125573.75200171475
222,6666.13299497883,125029.2642093735
223,6666.022587410304,126351.3306291311
224,6665.912179841778,125010.44567443905
225,6665.801772273253,124334.27424028453
226,6665.691364704727,125854.81209307647
227,6665.5809571362015,125443.0121684198
228,6665.470549567675,124930.9980960144
229,6665.36014199915,125715.70868712255
230,6665.249734430625,124378.20000957654
231,6665.139326862099,125138.31853060515
232,6665.028919293573,124823.22630771769
233,6664.918511725047,125634.60161347795
234,6664.808104156522,126528.48611043833
235,6664.697696587997,125642.01316462233
236,6664.5872890194705,125070.73487957474
237,6664.476881450945,125767.38327738368
238,6664.366473882419,125482.53973504076
239,6664.256066313894,125535.4437869108
240,6664.145658745368,125011.79181029944
241,6664.035251176842,126411.31623578923
242,6663.924843608317,125154.62635978291
243,6663.814436039791,126593.86660477644
244,6663.704028471266,125314.60403207535
245,6663.5936209027395,125060.88057004713
